"Ministry","City/country","Name","Address","Latitude","Longitude"
"Ministry of Transportation and Communications","Taipei City","Institute of Transportation 6-7F","No.240, Dunhua N. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","25.060251","121.549399"
"Ministry of Transportation and Communications","Taipei City","Institute of Transportation 8-9F","No.240, Dunhua N. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","25.060251","121.549399"
"Ministry of Transportation and Communications","Taipei City","Tourist Service Centers in Taipei","1F., No.240, Dunhua N. Rd., Songshan Dist., Taipei City 10548, Taiwan (R.O.C.)","25.060121","121.549497"
"Ministry of Transportation and Communications","Taipei City","Tourist Service Centers","2F., No.240, Dunhua N. Rd., Songshan Dist., Taipei City 10548, Taiwan (R.O.C.)","25.060121","121.549497"
"Ministry of Transportation and Communications","Taipei City","5F Conference Room and Library","5F., No.240, Dunhua N. Rd., Songshan Dist., Taipei City 10548, Taiwan (R.O.C.)","25.060507","121.549344"
"Ministry of Transportation and Communications","Taipei City","B1 International Conference Hall","B1F., No.240, Dunhua N. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","25.060121","121.549497"
"Ministry of Transportation and Communications","Taipei City","Songshan Airport Post Office","No.340-9, Dunhua N. Rd., Songshan Dist., Taipei 105-48, Taiwan (R.O.C.)","25.0636663","121.5515132"
"Council of Agriculture, Executive Yuan","Taipei City","TAIPEI SONGSHAN AIRPORT INSPECTION STATION (arrival counter)","No.340-9,Dunhua N. Rd., Songshan District, Taipei City 105, Taiwan (R.O.C.)","25.063666","121.551513"
"Council of Agriculture, Executive Yuan","Taipei City","TAIPEI SONGSHAN AIRPORT INSPECTION STATION (departure counter)","No.340-9,Dunhua N. Rd., Songshan District, Taipei City 105, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","Internation Arrival Gallery","340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","Domestic Waiting Lounge","No.340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","Domestic Arrival Area (Baggage Claim)","No.340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","Domestic Departure Check-in Area","No.340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","Domestic Arrival Waiting Lounge","No.340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","International Waiting Lounge","No.340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","International Waiting Lounge 2F","340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","Internation Waiting Room","340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","International Departure Check-in Area","No.340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","International Waiting Room","No.340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","International Customers Check Area (Baggage Claim)","No.340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","International Arrivals Area","No.340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","Observatory of Taipei SongShan Airport","340-9 Dunhua N Rd, Taipei 10548, Taiwan (R.O.C.)","25.063666","121.551513"
"Ministry of Transportation and Communications","Taipei City","Civil Aeronautics Administration","No.340, Dunhua N. Rd., Taipei City 10548, Taiwan (R.O.C.)","25.061824","121.55199"
"Ministry of Finance","Taipei City","Mega International Commercial Bankd Co.,Ltd. Taipei Airport Branch","Taipei Sungshan Airport Building No.340-9, Tun-hua N. Rd., Taipei City 10548, Taiwan (R.O.C.)","25.063996","121.551865"
"Ministry of Finance","Taipei City","FirstBank_Bade","No.3, Sec. 1, Dunhua S. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","25.047366","121.549288"
